name,hp,attack,defense,sp_attack,sp_defense,speed,generation,rarity,is_legendary,set_name,price_usd,type
Tangela V,101,65,82,77,87,79,4,Rare Holo,True,Majestic Dawn,14.45,Grass
Lugia,69,54,59,86,120,100,5,Rare Holo,False,Ancient Origins,8.28,Psychic
Zekrom,31,35,50,38,47,34,3,Common,False,EX Emerald,0.23,Electric
Victreebel,89,72,71,68,71,56,7,Rare,True,Chilling Reign,3.14,Grass
Ponyta,48,54,31,43,33,41,1,Common,False,Jungle,0.12,Fire
Feraligatr,85,67,42,68,41,57,1,Uncommon,False,Base Set,0.62,Water
Espeon,48,50,31,46,66,53,2,Common,False,Expedition,0.26,Psychic
Grumpig,75,49,45,53,104,89,1,Rare,False,Neo Genesis,5.2,Psychic
Chandelure,30,42,37,11,65,54,5,Common,False,Phantom Forces,0.11,Ghost
Espeon,72,37,34,57,70,67,6,Uncommon,False,Sun & Moon,0.43,Psychic
Torterra,87,49,52,55,55,56,9,Uncommon,False,Shrouded Fable,0.58,Grass
Murkrow EX,59,39,46,31,27,40,4,Common,True,Majestic Dawn,0.23,Flying
Vikavolt,79,57,68,39,61,55,4,Rare,True,Legends Awakened,3.98,Electric
Pachirisu,157,71,105,63,91,85,5,Rare Holo EX,True,Ancient Origins,26.27,Electric
Rhydon,201,110,155,147,99,133,6,Rare Ultra,True,Burning Shadows,242.49,Rock
Darmanitan,60,72,34,50,51,45,7,Uncommon,False,Battle Styles,0.38,Fire
Nidorino,45,35,48,41,23,46,5,Common,False,Phantom Forces,0.2,Poison
Makuhita,66,45,79,62,41,26,8,Uncommon,False,Obsidian Flames,1.13,Fighting
Scorbunny,30,58,47,24,47,38,8,Common,False,Scarlet & Violet,0.31,Fire
Exeggutor,62,50,57,50,67,60,2,Uncommon,False,Skyridge,1.06,Psychic
Pidgey,108,73,73,57,68,69,4,Rare Holo,False,Diamond & Pearl,4.07,Normal
Kyogre,84,81,59,82,57,72,8,Rare,False,151,2.44,Water
Electrode,36,52,55,32,34,51,5,Common,False,Ancient Origins,0.51,Electric
Pidgeot,97,46,48,44,60,47,2,Uncommon,False,Aquapolis,0.68,Normal
Bayleef,37,27,49,61,51,33,3,Common,False,Dragon,0.25,Grass
Hoopa GX,168,77,101,84,130,100,1,Rare Holo EX,True,Neo Genesis,111.0,Ghost
Numel,71,71,45,20,28,42,1,Common,False,Neo Discovery,0.21,Fire
Croagunk,157,100,125,105,80,96,8,Rare Holo EX,True,Paldea Evolved,29.53,Fighting
Galvantula,116,45,66,47,53,57,1,Rare,False,Team Rocket,1.61,Electric
Slugma,40,52,34,34,52,39,2,Common,False,Expedition,0.39,Fire
Palkia,71,53,66,56,47,55,3,Uncommon,False,Dragon,0.68,Water
Meditite,69,69,70,74,58,43,6,Uncommon,False,Crimson Invasion,0.2,Fighting
Morelull,78,74,58,58,86,79,1,Rare,False,Gym Heroes,1.62,Fairy
Growlithe,83,87,52,42,43,49,6,Uncommon,False,Sun & Moon,0.49,Fire
Pupitar,61,49,72,69,43,57,1,Uncommon,False,Base Set,0.69,Ground
Murkrow V,51,53,61,74,77,43,1,Uncommon,True,Gym Heroes,1.79,Dark
Torchic,78,47,54,39,52,33,1,Uncommon,False,Base Set 2,1.0,Fire
Numel,103,73,53,30,43,52,5,Uncommon,False,Roaring Skies,0.82,Fire
Blaziken,63,93,58,23,54,54,5,Uncommon,False,Roaring Skies,0.31,Fire
Victreebel,87,44,41,73,77,53,8,Rare,True,Paldean Fates,2.16,Grass
Igglybuff,115,67,60,92,67,67,3,Rare,False,EX FireRed & LeafGreen,2.74,Fairy
Lairon,42,54,48,69,31,28,3,Common,False,Dragon,0.19,Rock
Flaaffy,96,58,87,57,63,73,7,Rare Holo,False,Vivid Voltage,6.91,Electric
Salamence,75,74,79,87,88,85,4,Rare Holo,False,Diamond & Pearl,13.77,Dragon
Nidoking,120,69,82,72,77,72,8,Rare Holo,False,Paldea Evolved,13.46,Poison
Jolteon,83,53,58,26,44,41,5,Uncommon,False,Phantom Forces,0.62,Electric
Lanturn,63,22,52,16,65,50,7,Common,False,Darkness Ablaze,0.29,Electric
Galvantula,70,45,48,44,57,52,1,Uncommon,False,Fossil,0.43,Electric
Gastly,86,24,60,51,63,60,8,Uncommon,False,Scarlet & Violet,0.78,Ghost
Doduo,111,83,70,71,56,84,1,Rare Holo,False,Jungle,14.07,Normal
Electabuzz V,51,52,60,27,26,33,5,Common,True,Ancient Origins,0.13,Electric
Aerodactyl,37,51,59,50,76,17,4,Uncommon,False,Mysterious Treasures,0.63,Flying
Sneasel,34,32,59,42,58,61,5,Common,False,Roaring Skies,0.31,Dark
Bellossom,64,43,52,56,58,64,1,Common,False,Team Rocket,0.19,Grass
Magnezone,93,64,50,78,45,60,4,Uncommon,False,Diamond & Pearl,0.4,Steel
Feebas,70,62,57,69,56,50,5,Uncommon,False,Phantom Forces,0.54,Water
Exeggutor,81,44,59,60,46,56,1,Uncommon,False,Neo Genesis,0.55,Grass
Altaria,102,83,69,58,69,53,8,Rare Holo,False,Paldea Evolved,7.57,Flying
Mudkip,87,53,56,52,43,77,6,Uncommon,False,Sun & Moon,0.23,Water
Litwick,87,40,88,43,79,72,6,Uncommon,False,Guardians Rising,0.61,Ghost
Swalot,87,43,71,76,85,78,3,Rare,False,Dragon,2.06,Poison
Fennekin,30,48,34,32,42,38,3,Common,False,Team Magma vs Team Aqua,0.21,Fire
Emolga,92,69,81,51,67,62,4,Rare Holo,False,Diamond & Pearl,9.24,Electric
Wailmer,96,66,48,68,52,67,1,Uncommon,False,Jungle,1.21,Water
Cinderace,70,42,31,27,47,37,5,Common,False,Primal Clash,0.24,Fire
Dusclops,35,53,41,46,67,48,8,Common,False,Scarlet & Violet,0.41,Ghost
Charmeleon,72,46,34,48,42,28,1,Common,False,Neo Genesis,0.16,Fire
Piplup EX,45,47,54,55,37,72,1,Uncommon,True,Neo Discovery,0.58,Water
Caterpie,73,44,60,68,45,44,9,Uncommon,False,Shrouded Fable,0.48,Bug
Garchomp,38,33,63,58,48,63,4,Common,False,Legends Awakened,0.24,Ground
Giratina,72,53,62,65,65,74,2,Uncommon,False,Skyridge,0.73,Dragon
Quilladin,81,25,74,63,71,59,6,Uncommon,False,Crimson Invasion,0.56,Grass
Beldum,53,48,46,60,51,64,6,Common,False,Burning Shadows,0.28,Steel
Dedenne,75,60,40,63,73,76,5,Rare,False,Flashfire,2.78,Fairy
Machamp,72,47,67,45,51,63,4,Common,False,Diamond & Pearl,0.25,Fighting
Murkrow,79,48,67,54,46,53,5,Uncommon,False,XY Base,1.27,Dark
Marill,98,39,35,60,70,82,1,Rare,False,Gym Challenge,0.42,Fairy
Vaporeon,91,75,64,87,64,99,6,Rare Holo,True,Ultra Prism,35.49,Water
Wigglytuff,62,59,41,57,65,81,7,Uncommon,False,Chilling Reign,0.9,Fairy
Plusle EX,30,38,64,16,43,27,3,Common,True,EX FireRed & LeafGreen,0.35,Electric
Mareep,81,51,61,45,52,50,7,Uncommon,False,Vivid Voltage,0.49,Electric
Mamoswine,93,74,66,96,70,68,3,Rare,False,Dragon,1.09,Ice
Purrloin,43,35,48,49,44,50,6,Common,False,Forbidden Light,0.36,Dark
Spearow,83,61,71,61,61,53,4,Rare Holo,False,Mysterious Treasures,14.92,Normal
Snubbull,88,57,59,60,66,71,2,Uncommon,False,Expedition,0.45,Fairy
Machoke,76,61,80,91,62,80,7,Rare,False,Sword & Shield,2.38,Fighting
Fennekin,30,54,46,30,52,51,4,Common,False,Majestic Dawn,0.54,Fire
Haunter V,77,58,73,68,94,60,2,Rare,True,Skyridge,5.55,Ghost
Camerupt GX,93,102,67,61,50,61,3,Rare Holo,True,EX Emerald,18.25,Fire
Blissey,84,74,64,63,65,58,3,Rare,False,Ruby & Sapphire,1.27,Normal
Kyogre,61,43,62,78,49,64,1,Uncommon,False,Neo Discovery,0.24,Water
Dwebble,68,34,58,97,30,56,5,Uncommon,False,Flashfire,0.88,Rock
Clefable,49,38,39,40,43,55,7,Common,False,Sword & Shield,0.19,Fairy
Poochyena,84,79,61,77,68,51,6,Rare,False,Guardians Rising,2.33,Dark
Breloom,107,71,92,82,97,77,5,Rare Holo,False,Roaring Skies,5.66,Grass
Tapu Koko,91,48,30,79,75,95,7,Rare,False,Sword & Shield,0.93,Fairy
Zekrom,105,53,97,50,74,73,7,Rare Holo,False,Battle Styles,9.45,Electric
Charizard,53,62,38,43,31,48,5,Uncommon,False,Furious Fists,0.76,Fire
Roserade,53,23,57,63,75,71,6,Uncommon,False,Guardians Rising,0.41,Grass
Gastrodon,73,55,43,69,34,75,8,Uncommon,False,Paldea Evolved,0.32,Water
Absol,156,99,127,96,126,90,6,Rare Holo EX,True,Ultra Prism,80.28,Dark
Mew,70,44,59,53,72,76,1,Uncommon,False,Neo Genesis,0.35,Psychic
Exeggcute,75,50,39,50,98,81,2,Uncommon,False,Neo Revelation,0.52,Psychic
Poliwrath,61,69,64,54,43,59,5,Uncommon,False,Ancient Origins,0.54,Water
Bayleef,51,64,39,50,58,35,5,Common,False,Phantom Forces,0.47,Grass
Furret,81,76,60,73,66,75,3,Rare Holo,False,Sandstorm,5.01,Normal
Slowpoke,64,35,18,64,33,60,5,Common,False,XY Base,0.14,Water
Staravia,50,33,53,24,48,35,2,Common,False,Neo Revelation,0.22,Flying
Hydreigon,70,40,57,31,39,44,3,Common,False,EX FireRed & LeafGreen,0.12,Dark
Poliwag,107,61,75,88,60,91,6,Rare Holo,False,Ultra Prism,6.57,Water
Granbull,85,58,43,71,58,90,4,Rare,False,Majestic Dawn,2.16,Fairy
Slowbro GX,81,80,58,105,66,82,3,Rare Holo,True,EX Emerald,6.34,Water
Krookodile,127,72,76,87,92,81,6,Rare Holo,False,Forbidden Light,6.93,Dark
Shiftry,64,74,52,43,75,52,4,Uncommon,False,Great Encounters,0.33,Dark
Zekrom,61,50,77,47,60,52,1,Common,False,Fossil,0.21,Dragon
Zoroark,77,50,86,46,60,59,4,Rare,False,Majestic Dawn,1.02,Dark
Claydol,172,73,82,98,154,132,5,Rare Holo GX,True,XY Base,33.7,Psychic
Mienfoo,70,68,75,67,38,55,6,Uncommon,False,Ultra Prism,0.8,Fighting
Exeggcute,91,72,56,77,107,94,2,Rare Holo,False,Expedition,6.04,Psychic
Tentacool,72,51,53,81,36,72,7,Uncommon,False,Sword & Shield,0.37,Water
Exeggcute,117,59,67,74,105,111,5,Rare Holo,False,XY Base,6.4,Psychic
Shinx,30,18,32,59,44,55,2,Common,False,Neo Destiny,0.15,Electric
Solrock,205,78,58,108,122,120,1,Rare Holo EX,True,Jungle,202.76,Psychic
Boltund,177,97,116,102,91,85,4,Rare Holo GX,True,Majestic Dawn,25.88,Electric
Grimer,77,33,46,52,42,50,7,Common,False,Darkness Ablaze,0.07,Poison
Musharna,184,98,82,97,171,141,8,Rare Holo GX,True,Paldean Fates,41.79,Psychic
Dragonite,86,40,46,54,75,46,2,Uncommon,False,Legendary Collection,0.78,Flying
Metapod,103,51,66,51,61,42,6,Uncommon,False,Guardians Rising,0.33,Bug
Geodude,63,62,60,68,37,42,6,Common,False,Ultra Prism,0.23,Ground
Timburr,78,61,87,78,51,88,5,Rare,False,Phantom Forces,3.99,Fighting
Tepig,79,64,37,43,43,32,3,Common,False,Ruby & Sapphire,0.27,Fire
Sealeo,72,60,58,61,31,68,7,Uncommon,False,Battle Styles,0.49,Water
Sableye,73,68,72,70,73,64,1,Rare,False,Gym Heroes,1.32,Dark
Klink,175,100,94,146,103,136,6,Rare Holo GX,True,Burning Shadows,50.95,Steel
Weepinbell,78,61,66,59,68,43,7,Uncommon,False,Rebel Clash,0.22,Grass
Piplup,156,93,107,119,73,103,3,Rare Holo EX,True,EX FireRed & LeafGreen,66.73,Water
Gardevoir,109,58,29,72,86,96,3,Rare Holo,False,Team Magma vs Team Aqua,13.04,Fairy
Yanma,52,37,41,48,44,71,7,Common,False,Chilling Reign,0.32,Bug
Mudkip,37,45,49,73,47,58,5,Uncommon,False,Flashfire,0.54,Water
Pidgey,30,29,53,29,56,51,8,Common,False,Scarlet & Violet,0.36,Normal
Dugtrio,72,60,78,64,43,47,7,Uncommon,False,Sword & Shield,0.3,Ground
Latias,165,115,153,106,128,104,1,Rare Holo GX,True,Base Set,75.23,Dragon
Spheal V,80,56,61,56,64,37,2,Uncommon,True,Aquapolis,0.62,Ice
Bayleef,101,57,67,73,80,64,5,Rare,False,Flashfire,2.45,Grass
Magmar,86,104,34,45,65,52,1,Rare,False,Jungle,1.27,Fire
Poliwag,233,114,112,133,107,132,2,Secret Rare,True,Aquapolis,392.76,Water
Mienshao,94,75,118,77,61,64,3,Rare Holo,False,EX Emerald,4.19,Fighting
Kangaskhan,37,44,51,29,39,40,1,Common,False,Gym Heroes,0.22,Normal
Porygon2,48,54,60,64,56,45,2,Uncommon,False,Skyridge,0.21,Normal
Gurdurr,69,61,81,80,40,64,2,Uncommon,False,Aquapolis,0.27,Fighting
Blitzle,53,44,51,42,49,31,5,Common,False,Primal Clash,0.44,Electric
Stufful,113,59,100,68,40,61,2,Rare,False,Neo Destiny,3.35,Fighting
Rapidash,106,108,56,49,77,74,4,Rare Holo,False,Majestic Dawn,10.79,Fire
Ralts,62,29,36,49,87,76,7,Uncommon,False,Sword & Shield,0.61,Psychic
Munna GX,96,44,60,51,90,87,8,Rare,True,Paradox Rift,5.04,Psychic
Spiritomb,104,43,44,61,59,51,1,Uncommon,False,Neo Discovery,0.69,Ghost
Mimikyu,34,34,48,21,56,63,6,Common,False,Forbidden Light,0.18,Ghost
Drifloon,220,87,100,96,154,117,6,Rare Ultra,True,Burning Shadows,173.14,Ghost
Venonat,188,76,97,114,105,98,5,Rare Holo GX,True,Furious Fists,60.41,Bug
Nidoran,75,66,66,68,76,31,5,Uncommon,False,Ancient Origins,0.46,Poison
Charmeleon,39,55,19,12,61,29,7,Common,False,Darkness Ablaze,0.22,Fire
Cacturne,30,30,44,70,41,39,2,Common,False,Neo Destiny,0.33,Grass
Gabite,62,54,71,81,64,51,2,Uncommon,False,Expedition,0.92,Ground
Natu,53,45,32,59,67,79,1,Uncommon,False,Gym Challenge,1.18,Psychic
Shiftry,50,45,52,57,63,63,5,Uncommon,False,Furious Fists,0.21,Grass
Gastly,99,40,65,58,83,67,2,Rare,False,Neo Revelation,1.86,Ghost
Fletchinder,95,91,65,50,83,49,3,Rare Holo,False,Ruby & Sapphire,5.52,Fire
Vaporeon,70,50,69,68,54,63,3,Uncommon,True,EX FireRed & LeafGreen,1.6,Water
Quagsire EX,30,46,83,36,25,77,7,Common,True,Chilling Reign,0.63,Ground
Dewgong,178,99,113,119,104,90,5,Rare Holo EX,True,Roaring Skies,89.92,Ice
Yamper,83,38,44,31,58,51,7,Common,False,Vivid Voltage,0.44,Electric
Dedenne,47,37,34,19,39,31,5,Common,False,Primal Clash,0.24,Electric
Seviper,74,40,75,68,81,90,3,Rare,False,Team Magma vs Team Aqua,0.75,Poison
Shiftry,99,72,76,64,70,81,7,Rare Holo,False,Battle Styles,5.26,Dark
Primeape V,100,66,84,75,37,61,2,Rare,True,Neo Revelation,2.6,Fighting
Delphox,87,83,58,42,53,58,6,Uncommon,False,Crimson Invasion,1.12,Fire
Feraligatr,55,54,63,55,52,57,5,Common,False,Furious Fists,0.6,Water
Pawniard,103,61,75,73,80,55,4,Rare Holo,False,Majestic Dawn,3.52,Dark
Golett,72,27,32,34,78,55,7,Common,False,Vivid Voltage,0.13,Ghost
Quilava,73,70,44,46,59,62,6,Uncommon,False,Guardians Rising,0.81,Fire
Electrode EX,103,60,89,67,67,71,3,Rare Holo,True,EX Emerald,15.33,Electric
Klefki,100,65,26,55,64,63,6,Uncommon,False,Forbidden Light,0.66,Fairy
Pidgeot,186,99,121,91,92,89,6,Rare Ultra,True,Crimson Invasion,152.0,Flying
Floatzel,84,66,52,52,27,76,3,Uncommon,False,Ruby & Sapphire,0.5,Water
Breloom,46,46,39,31,55,40,4,Common,False,Great Encounters,0.3,Grass
Tyranitar,99,78,93,104,61,87,8,Rare Holo,False,Scarlet & Violet,9.74,Rock
Pidgeotto,54,38,55,25,53,51,3,Common,False,EX Emerald,0.14,Normal
Pawniard,65,69,50,94,59,89,2,Rare,False,Aquapolis,0.83,Steel
Quilava,33,78,24,53,43,28,1,Common,False,Fossil,0.4,Fire
Timburr,72,53,76,74,50,39,6,Uncommon,False,Ultra Prism,0.22,Fighting
Drowzee,104,63,53,81,80,67,8,Rare,False,Obsidian Flames,1.33,Psychic
Cherubi,89,71,54,85,79,68,6,Rare Holo,False,Forbidden Light,1.58,Grass
Latios,91,25,54,53,87,93,3,Rare,False,Team Magma vs Team Aqua,0.76,Psychic
Golem,47,52,59,78,35,47,4,Uncommon,False,Secret Wonders,0.27,Rock
Snorlax,104,71,64,55,58,67,4,Rare,False,Legends Awakened,2.32,Normal
Boltund,106,64,79,75,68,64,5,Rare,False,Furious Fists,1.7,Electric
Moltres,78,104,54,56,69,56,3,Rare Holo,False,Sandstorm,4.89,Fire
Magikarp,168,87,88,111,85,105,8,Rare Holo EX,True,Paradox Rift,147.45,Water
Totodile,88,60,74,62,49,86,7,Uncommon,False,Rebel Clash,0.83,Water
Poliwrath,60,69,62,60,50,65,2,Uncommon,False,Neo Destiny,1.38,Water
Gastrodon,211,98,114,139,88,123,7,Rare Ultra,True,Rebel Clash,187.31,Water
Shiftry V,98,87,111,70,68,60,4,Rare Holo,True,Diamond & Pearl,12.61,Dark
Koffing,117,58,79,59,80,81,3,Rare Holo,False,EX Emerald,6.18,Poison
Wailmer,68,69,50,51,32,55,2,Uncommon,False,Skyridge,0.63,Water
Heracross,53,40,88,64,55,56,2,Uncommon,False,Neo Destiny,0.82,Fighting
Machop,180,81,131,116,75,84,2,Rare Holo EX,True,Neo Revelation,109.54,Fighting
Slowbro,80,30,23,31,57,59,2,Common,False,Neo Destiny,0.23,Psychic
Combusken,97,71,62,59,83,42,3,Rare,False,EX FireRed & LeafGreen,2.44,Fire
Aerodactyl,127,75,90,81,45,73,5,Rare,False,Ancient Origins,1.82,Rock
Lucario,90,50,56,67,44,56,1,Common,False,Base Set 2,0.29,Steel
Yanma,187,87,110,108,101,109,6,Rare Ultra,True,Ultra Prism,110.02,Bug
Nidoran,43,53,58,44,50,40,6,Common,False,Sun & Moon,0.18,Poison
Krokorok,88,58,54,36,53,52,4,Uncommon,False,Mysterious Treasures,1.26,Dark
Hydreigon,178,92,126,98,113,95,3,Rare Holo GX,True,Dragon,45.97,Dark
Budew,46,47,59,41,61,44,1,Common,False,Gym Heroes,0.72,Grass
Venusaur,82,54,55,90,82,71,3,Rare,True,EX Emerald,5.9,Grass
Mr. Mime,73,31,47,51,84,71,2,Uncommon,False,Legendary Collection,0.35,Psychic
Groudon,93,74,95,75,57,68,4,Rare,False,Great Encounters,1.04,Ground
Growlithe,85,83,28,46,35,35,3,Uncommon,False,Dragon,0.4,Fire
Latias,76,62,79,56,86,54,3,Uncommon,False,Ruby & Sapphire,0.93,Dragon
Typhlosion GX,30,79,52,35,46,42,2,Common,True,Expedition,0.36,Fire
Pidgeotto,84,63,56,59,57,61,1,Rare Holo,False,Neo Genesis,6.26,Normal
Walrein,71,40,62,75,37,68,4,Uncommon,False,Great Encounters,0.43,Water
Quilava,80,73,39,49,39,36,2,Uncommon,False,Skyridge,0.36,Fire
Bronzong,46,48,46,68,45,55,2,Common,False,Neo Revelation,0.36,Steel
Budew,86,37,36,64,56,53,2,Uncommon,False,Aquapolis,0.45,Grass
Bonsly,39,43,49,60,38,54,1,Common,False,Fossil,0.05,Rock
Anorith,94,46,37,40,34,40,1,Uncommon,False,Jungle,0.22,Bug
Boldore,42,58,79,80,47,57,5,Uncommon,False,XY Base,0.92,Rock
Shellos,80,70,84,94,73,72,6,Rare,False,Sun & Moon,1.21,Water
Vaporeon EX,44,40,51,53,61,70,1,Uncommon,True,Gym Challenge,3.3,Water
Taillow,62,34,46,55,53,44,1,Common,False,Gym Heroes,0.25,Flying
Dedenne,43,40,86,36,51,43,6,Uncommon,False,Guardians Rising,0.53,Electric
Cherrim,62,43,60,60,51,44,1,Uncommon,False,Jungle,0.56,Grass
Torterra,117,61,85,89,83,78,9,Rare Holo,False,Twilight Masquerade,1.98,Grass
Larvitar,74,75,64,85,44,62,6,Uncommon,False,Crimson Invasion,0.65,Ground
Darmanitan,98,89,53,55,58,52,3,Rare,False,EX FireRed & LeafGreen,0.99,Fire
Conkeldurr,189,113,152,135,78,121,7,Rare Ultra,True,Vivid Voltage,147.48,Fighting
Pelipper,97,50,63,59,43,53,1,Rare,False,Gym Challenge,3.1,Flying
Marshtomp,55,28,64,53,62,48,6,Common,False,Forbidden Light,0.34,Water
Linoone,73,44,41,33,31,32,2,Common,False,Legendary Collection,0.12,Normal
Xatu,115,57,37,79,92,94,5,Rare,False,Phantom Forces,1.79,Psychic
Meltan GX,106,47,70,66,45,79,2,Uncommon,True,Expedition,0.98,Steel
Wurmple,73,47,67,49,64,43,5,Uncommon,False,XY Base,0.42,Bug
Gloom,65,45,56,64,59,66,4,Uncommon,False,Mysterious Treasures,0.87,Grass
Croagunk,87,55,96,71,36,86,1,Rare,False,Gym Challenge,1.53,Fighting
Litten,81,65,69,44,52,45,8,Uncommon,False,Paldea Evolved,0.35,Fire
Shiinotic,164,92,78,99,97,106,5,Rare Holo EX,True,Roaring Skies,50.29,Fairy
Croconaw,76,67,55,67,52,70,1,Rare,False,Neo Genesis,2.32,Water
Giratina,38,22,31,38,52,41,1,Common,False,Neo Genesis,0.35,Ghost
Blaziken,60,56,33,20,27,32,1,Common,False,Fossil,0.25,Fire
Sableye,106,62,81,71,96,64,6,Rare Holo,False,Crimson Invasion,4.57,Ghost
Beedrill,46,30,58,43,27,45,4,Common,False,Secret Wonders,0.09,Bug
Chimecho,45,44,36,40,80,74,5,Uncommon,False,Primal Clash,0.59,Psychic
Articuno,68,60,66,45,62,52,7,Rare,False,Battle Styles,2.51,Flying
Chansey,30,27,42,56,55,52,3,Common,False,EX Emerald,0.24,Normal
Luxio,48,28,67,47,67,31,4,Common,False,Majestic Dawn,0.71,Electric
Spiritomb,97,31,53,56,75,56,5,Uncommon,False,Flashfire,0.36,Ghost
Jigglypuff,92,44,48,50,57,54,3,Uncommon,False,Ruby & Sapphire,1.32,Normal
Sealeo,68,47,44,55,62,45,5,Common,False,Primal Clash,0.29,Ice
Tentacruel,54,49,41,51,50,50,2,Common,False,Neo Revelation,0.21,Poison
Hitmonchan,180,102,162,124,62,102,1,Rare Holo GX,True,Gym Heroes,82.94,Fighting
Boltund,30,34,54,42,38,44,3,Common,False,Ruby & Sapphire,0.34,Electric
Espeon GX,37,10,21,51,68,61,7,Common,True,Battle Styles,0.12,Psychic
Spearow,54,24,37,27,36,49,7,Common,False,Chilling Reign,0.11,Normal
Zebstrika,57,47,62,46,39,86,6,Uncommon,False,Sun & Moon,0.32,Electric
Gloom,101,52,53,70,67,53,2,Rare,False,Aquapolis,4.76,Grass
Sandslash,50,51,59,68,30,36,2,Common,False,Expedition,0.15,Ground
Golurk,68,23,53,60,89,58,7,Rare,False,Vivid Voltage,1.51,Ghost
Drifblim,190,52,100,77,143,108,1,Rare Holo GX,True,Base Set,34.71,Ghost
Yamper,94,56,77,61,71,42,1,Rare,False,Neo Discovery,1.62,Electric
Roggenrola,58,47,58,56,45,40,3,Common,False,EX FireRed & LeafGreen,0.54,Rock
Cacturne,213,108,137,106,108,114,3,Rare Ultra,True,EX Emerald,144.32,Dark
Pichu V,73,54,67,49,45,43,5,Uncommon,True,XY Base,1.23,Electric
Persian,71,49,34,50,52,53,7,Common,False,Vivid Voltage,0.3,Normal
Riolu,88,66,49,66,30,46,1,Uncommon,False,Team Rocket,0.38,Fighting
Houndoom,62,47,70,46,32,50,1,Uncommon,False,Base Set 2,0.44,Dark
