name,type,hp,attack,defense,sp_attack,sp_defense,speed,generation,rarity,is_legendary,set_name,price_usd
Yanma,Flying,49,39,61,34,25,66,1,Common,False,Gym Challenge,0.38
Mr. Mime,Psychic,78,45,20,36,93,88,1,Uncommon,False,Gym Challenge,0.95
Aggron,Rock,46,57,46,87,39,60,1,Common,False,Neo Discovery,0.34
Roselia,Grass,41,48,50,57,59,39,1,Common,False,Team Rocket,0.32
Graveler,Rock,77,50,75,82,23,70,1,Uncommon,False,Jungle,1.41
Feraligatr,Water,50,36,51,64,23,47,1,Common,False,Jungle,0.36
Alolan Sandshrew,Ice,40,56,47,40,52,64,1,Common,False,Base Set,0.2
Melmetal,Steel,60,61,42,85,56,77,1,Uncommon,False,Neo Genesis,0.74
Blaziken,Fire,43,77,56,35,38,55,1,Uncommon,False,Gym Heroes,0.81
Sentret,Normal,77,52,52,55,64,55,1,Uncommon,False,Base Set 2,0.6
Electrode,Electric,182,90,115,52,97,102,1,Rare Holo GX,True,Gym Challenge,67.31
Snivy,Grass,164,98,101,107,116,100,1,Rare Holo GX,True,Team Rocket,13.78
Frillish,Ghost,89,51,49,72,77,79,1,Rare,False,Gym Heroes,1.47
Gigalith,Rock,88,65,78,87,73,60,1,Rare,False,Team Rocket,1.19
Tentacruel,Water,30,34,52,56,40,61,1,Common,False,Base Set 2,0.21
Empoleon,Water,71,39,28,51,35,51,1,Common,False,Gym Heroes,0.2
Cacturne,Grass,52,31,52,59,74,63,1,Common,False,Gym Challenge,0.39
Kabuto,Rock,66,77,72,87,51,75,1,Rare,False,Jungle,1.35
Buizel GX,Water,206,90,92,97,73,106,1,Rare Holo EX,True,Neo Discovery,60.4
Mime Jr.,Fairy,70,78,37,78,83,81,1,Rare,False,Neo Genesis,2.12
Shellos GX,Water,76,34,43,55,45,55,1,Common,True,Team Rocket,0.21
Farfetchd,Flying,122,37,57,48,60,43,1,Rare,False,Base Set,0.45
Whismur,Normal,178,90,93,85,73,82,1,Rare Holo EX,True,Gym Heroes,72.8
Poliwag,Water,90,68,62,64,46,85,1,Rare,False,Base Set,3.63
Skarmory,Flying,66,52,59,50,32,43,1,Uncommon,False,Gym Challenge,0.61
Honedge,Steel,63,47,44,71,10,80,1,Common,False,Fossil,0.51
Whiscash,Ground,60,41,88,57,55,43,1,Uncommon,False,Base Set 2,0.76
Sableye,Dark,83,49,63,42,74,48,1,Uncommon,False,Gym Challenge,0.44
Infernape,Fire,30,55,40,21,58,46,1,Common,False,Base Set,0.2
Luxray,Electric,63,47,65,30,15,52,1,Common,False,Team Rocket,0.17
Piplup EX,Water,45,47,54,55,37,72,1,Uncommon,True,Neo Discovery,0.58
Golett,Ghost,91,63,65,60,82,75,1,Rare Holo,False,Gym Heroes,12.35
Ursaring,Normal,30,46,27,52,31,22,1,Common,False,Base Set 2,0.18
Druddigon,Dragon,77,75,83,74,80,66,1,Rare,False,Gym Challenge,2.83
Vigoroth,Normal,48,41,40,35,49,48,1,Common,True,Gym Challenge,0.37
Darkrai,Dark,60,53,52,44,34,41,1,Common,False,Fossil,0.28
Mankey,Fighting,97,58,74,71,52,39,1,Uncommon,False,Gym Heroes,0.9
Linoone GX,Normal,50,46,38,40,32,40,1,Common,True,Base Set,0.42
Rhyhorn GX,Rock,100,64,59,79,61,68,1,Rare,True,Base Set 2,2.65
Grimer,Poison,64,34,55,56,50,50,1,Uncommon,False,Neo Discovery,0.25
Golbat,Flying,71,51,41,42,39,49,1,Uncommon,False,Jungle,0.33
Lucario,Fighting,57,58,66,69,59,47,1,Uncommon,False,Fossil,1.16
Grotle,Grass,88,31,75,68,83,37,1,Uncommon,False,Jungle,0.59
Gastly,Ghost,50,47,59,60,66,58,1,Uncommon,False,Base Set,0.55
Budew,Grass,46,47,59,41,61,44,1,Common,False,Gym Heroes,0.72
Ralts,Psychic,63,25,59,67,65,78,1,Uncommon,False,Base Set 2,0.73
Armaldo,Bug,33,25,31,49,26,27,1,Common,False,Gym Challenge,0.39
Jellicent,Ghost,42,48,28,40,56,64,1,Common,False,Gym Heroes,0.18
Polteageist,Ghost,106,46,77,42,90,63,1,Rare,False,Base Set 2,4.03
Riolu GX,Fighting,82,45,84,77,56,62,1,Rare,True,Base Set,2.69
Pidgey,Normal,71,59,45,53,50,58,1,Common,False,Base Set,0.23
Shiftry,Grass,49,34,58,65,71,51,1,Uncommon,False,Team Rocket,0.3
Lucario,Fighting,30,55,43,40,35,49,1,Common,False,Base Set,0.36
Natu,Psychic,53,45,32,59,67,79,1,Uncommon,False,Gym Challenge,1.18
Sableye,Ghost,43,14,50,55,54,61,1,Common,False,Jungle,0.61
Hawlucha,Fighting,37,36,76,47,37,45,1,Common,False,Neo Discovery,0.11
Heracross,Fighting,61,56,80,99,62,62,1,Rare,False,Gym Challenge,4.8
Camerupt,Fire,61,71,45,48,49,48,1,Common,False,Fossil,0.7
Chansey EX,Normal,104,75,64,66,66,42,1,Rare,True,Neo Discovery,3.08
Stufful,Fighting,98,82,102,81,53,81,1,Rare Holo,False,Neo Discovery,9.04
Darkrai GX,Dark,76,51,79,43,53,41,1,Uncommon,True,Gym Challenge,0.5
Mr. Mime,Psychic,86,70,51,78,104,88,1,Rare,False,Gym Challenge,3.38
Feraligatr,Water,101,58,58,79,60,78,1,Rare,False,Fossil,2.04
Rotom,Electric,54,51,84,39,45,41,1,Uncommon,False,Neo Discovery,0.35
Flaaffy,Electric,79,76,91,47,52,61,1,Rare,False,Base Set,1.68
Cherubi,Grass,57,55,66,61,48,51,1,Uncommon,False,Base Set 2,0.72
Electrode,Electric,97,49,81,47,48,50,1,Rare,False,Fossil,0.72
Beedrill,Bug,75,36,68,37,42,41,1,Common,False,Base Set,0.17
Marill,Water,171,96,100,109,78,92,1,Rare Holo EX,True,Base Set,99.76
Zapdos,Flying,62,62,50,55,76,62,1,Rare,False,Gym Challenge,2.02
Spiritomb,Dark,86,47,64,67,67,45,1,Uncommon,False,Neo Discovery,0.66
Treecko,Grass,90,32,48,82,62,24,1,Uncommon,False,Gym Heroes,0.68
Sableye,Dark,113,81,84,66,81,73,1,Rare Holo,False,Gym Heroes,6.52
Treecko,Grass,69,52,63,64,83,62,1,Rare,False,Jungle,3.75
Litwick,Ghost,82,16,51,50,60,63,1,Uncommon,False,Neo Genesis,0.44
Empoleon GX,Water,37,43,54,57,43,62,1,Common,True,Gym Challenge,0.63
Aipom,Normal,50,47,45,56,43,43,1,Common,False,Gym Challenge,0.19
Flaaffy,Electric,90,62,81,48,54,61,1,Rare Holo,False,Base Set 2,10.29
Zubat,Poison,30,33,60,34,42,46,1,Common,False,Base Set,0.17
Mewtwo GX,Psychic,44,38,43,41,45,58,1,Common,True,Team Rocket,1.01
Ludicolo,Grass,48,31,44,31,51,33,1,Common,False,Neo Discovery,0.07
Liepard,Dark,92,52,77,59,91,59,1,Rare,False,Gym Heroes,1.43
Frillish,Ghost,105,53,36,56,97,70,1,Rare,False,Gym Heroes,4.0
Cherrim,Grass,79,51,60,72,76,74,1,Rare,False,Gym Heroes,1.33
Sneasel,Ice,82,47,62,78,51,41,1,Uncommon,False,Base Set 2,0.8
Whismur,Normal,107,60,60,67,48,55,1,Uncommon,False,Base Set 2,0.39
Lanturn,Electric,56,41,60,42,54,53,1,Common,False,Base Set,0.34
Doduo,Normal,64,57,55,32,61,56,1,Uncommon,False,Team Rocket,0.18
Gastly,Ghost,115,42,51,71,82,72,1,Rare,False,Neo Genesis,2.17
Flareon,Fire,94,69,58,51,61,62,1,Rare,False,Gym Heroes,3.56
Exeggutor,Grass,52,52,62,39,60,53,1,Common,False,Team Rocket,0.12
Onix,Rock,91,59,92,123,47,60,1,Rare Holo,False,Fossil,3.66
Lotad,Water,30,40,33,44,42,54,1,Common,False,Jungle,0.3
Torkoal,Fire,102,92,64,50,68,62,1,Rare,False,Base Set,1.09
Galvantula,Electric,116,45,66,47,53,57,1,Rare,False,Team Rocket,1.61
Shinx,Electric,75,40,73,55,35,61,1,Uncommon,False,Gym Heroes,0.45
Scizor,Steel,60,50,55,57,56,66,1,Common,False,Neo Genesis,0.28
Kakuna V,Bug,39,32,35,49,41,47,1,Common,True,Neo Genesis,0.47
Hariyama,Fighting,86,66,106,72,33,56,1,Rare,False,Jungle,2.55
Mudkip,Water,78,40,58,50,58,61,1,Uncommon,False,Base Set,0.4
Marshtomp,Water,106,78,69,75,66,90,1,Rare Holo,False,Base Set,3.66
Torterra EX,Grass,87,48,69,71,66,54,1,Rare,True,Jungle,3.45
Registeel,Steel,56,65,45,65,38,47,1,Common,False,Fossil,0.36
Zeraora,Electric,93,44,89,61,44,40,1,Uncommon,False,Base Set 2,0.42
Dugtrio,Ground,50,51,70,55,24,48,1,Common,False,Neo Genesis,0.22
Togedemaru,Electric,91,42,85,45,70,42,1,Uncommon,False,Gym Challenge,0.58
Misdreavus,Ghost,88,26,49,30,75,58,1,Uncommon,False,Neo Genesis,0.54
Blastoise,Water,74,74,55,70,58,80,1,Rare,False,Fossil,1.65
Marill,Fairy,98,39,35,60,70,82,1,Rare,False,Gym Challenge,0.42
Zebstrika,Electric,90,45,75,53,64,42,1,Uncommon,False,Neo Discovery,0.89
Simisear,Fire,124,94,66,46,62,62,1,Rare Holo,False,Fossil,5.73
Marshtomp,Water,73,54,53,91,54,77,1,Rare,False,Neo Genesis,1.54
Mightyena V,Dark,81,49,60,42,51,39,1,Uncommon,True,Gym Challenge,1.51
Magmar,Fire,112,105,83,54,57,66,1,Rare Holo,False,Team Rocket,8.34
Entei,Fire,60,50,37,38,41,22,1,Common,False,Jungle,0.35
Infernape,Fire,38,56,43,26,47,43,1,Common,False,Base Set 2,0.38
Plusle,Electric,77,50,36,54,46,70,1,Uncommon,False,Team Rocket,0.54
Azurill,Fairy,67,47,44,55,69,62,1,Common,False,Jungle,0.24
Crabominable,Fighting,30,37,73,64,39,56,1,Common,False,Base Set,0.14
Crobat EX,Flying,34,36,44,31,43,44,1,Common,True,Neo Genesis,0.3
Vaporeon,Water,60,38,48,39,56,66,1,Common,True,Base Set 2,0.63
Primeape,Fighting,61,45,80,66,58,73,1,Uncommon,False,Neo Genesis,0.82
Golurk,Ghost,68,45,69,54,106,99,1,Rare Holo,False,Base Set 2,7.04
Regidrago,Dragon,88,72,90,58,96,87,1,Rare,False,Gym Heroes,2.69
Shuppet,Ghost,94,48,70,35,83,72,1,Rare,False,Base Set,2.48
Feebas,Water,50,41,51,82,40,46,1,Common,False,Gym Heroes,0.19
Sawk V,Fighting,69,62,94,76,58,60,1,Rare,True,Base Set,1.33
Emolga,Electric,55,62,74,54,55,38,1,Uncommon,False,Base Set 2,0.7
Pangoro,Fighting,55,65,54,51,39,44,1,Common,False,Neo Discovery,0.15
Feraligatr,Water,168,98,98,119,88,128,1,Rare Holo GX,True,Fossil,27.14
Shaymin,Grass,192,76,100,120,128,103,1,Rare Holo GX,True,Team Rocket,42.82
Suicune,Water,172,107,99,124,90,125,1,Rare Holo GX,True,Gym Heroes,97.71
Musharna,Psychic,73,40,37,41,78,51,1,Uncommon,False,Neo Genesis,0.35
Weezing,Poison,85,52,64,55,60,70,1,Rare,False,Base Set 2,1.09
Rattata,Normal,42,45,38,54,47,26,1,Common,False,Fossil,0.36
Snivy,Grass,76,55,71,79,107,58,1,Rare Holo,False,Base Set,2.29
Yamper,Electric,53,62,50,39,50,41,1,Common,False,Base Set,0.23
Spoink,Psychic,56,10,41,46,62,80,1,Common,False,Team Rocket,0.32
Ralts EX,Psychic,69,15,43,42,65,58,1,Common,True,Gym Heroes,0.24
Emboar,Fire,30,57,40,17,44,47,1,Common,False,Gym Challenge,0.11
Hoothoot,Flying,96,47,50,46,59,55,1,Uncommon,False,Gym Challenge,0.39
Hypno,Psychic,42,29,29,43,67,35,1,Common,False,Fossil,0.19
Incineroar,Fire,58,61,32,45,46,45,1,Common,False,Neo Discovery,0.25
Golem EX,Ground,81,55,55,63,23,46,1,Common,True,Neo Discovery,0.53
Pawniard,Steel,64,52,55,66,65,45,1,Uncommon,False,Base Set 2,0.45
Houndour,Dark,51,50,45,56,36,39,1,Common,False,Neo Discovery,0.26
Magmar,Fire,62,63,34,47,50,43,1,Uncommon,False,Neo Discovery,0.66
Reshiram,Dragon,108,61,101,52,88,74,1,Rare,False,Base Set,1.43
Sentret,Normal,81,57,51,50,61,34,1,Common,False,Neo Discovery,0.23
Blaziken,Fire,101,100,54,54,70,43,1,Rare,False,Gym Challenge,4.88
Incineroar EX,Fire,93,75,62,50,43,61,1,Uncommon,True,Neo Genesis,1.27
